,num,1,2,3,4,5,6,bonus
963,1,10,23.0,29.0,33.0,37.0,40.0,16
962,2,9,13.0,21.0,25.0,32.0,42.0,2
961,3,11,16.0,19.0,21.0,27.0,31.0,30
960,4,14,27.0,30.0,31.0,40.0,42.0,2
959,5,16,24.0,29.0,40.0,41.0,42.0,3
958,6,14,15.0,26.0,27.0,40.0,42.0,34
957,7,2,9.0,16.0,25.0,26.0,40.0,42
956,8,8,19.0,25.0,34.0,37.0,39.0,9
955,9,2,4.0,16.0,17.0,36.0,39.0,14
954,10,9,25.0,30.0,33.0,41.0,44.0,6
953,11,1,7.0,36.0,37.0,41.0,42.0,14
952,12,2,11.0,21.0,25.0,39.0,45.0,44
951,13,22,23.0,25.0,37.0,38.0,42.0,26
950,14,2,6.0,12.0,31.0,33.0,40.0,15
949,15,3,4.0,16.0,30.0,31.0,37.0,13
948,16,6,7.0,24.0,37.0,38.0,40.0,33
947,17,3,4.0,9.0,17.0,32.0,37.0,1
946,18,3,12.0,13.0,19.0,32.0,35.0,29
945,19,6,30.0,38.0,39.0,40.0,43.0,26
944,20,10,14.0,18.0,20.0,23.0,30.0,41
943,21,6,12.0,17.0,18.0,31.0,32.0,21
942,22,4,5.0,6.0,8.0,17.0,39.0,25
941,23,5,13.0,17.0,18.0,33.0,42.0,44
940,24,7,8.0,27.0,29.0,36.0,43.0,6
939,25,2,4.0,21.0,26.0,43.0,44.0,16
938,26,4,5.0,7.0,18.0,20.0,25.0,31
937,27,1,20.0,26.0,28.0,37.0,43.0,27
936,28,9,18.0,23.0,25.0,35.0,37.0,1
935,29,1,5.0,13.0,34.0,39.0,40.0,11
934,30,8,17.0,20.0,35.0,36.0,44.0,4
933,31,7,9.0,18.0,23.0,28.0,35.0,32
932,32,6,14.0,19.0,25.0,34.0,44.0,11
931,33,4,7.0,32.0,33.0,40.0,41.0,9
930,34,9,26.0,35.0,37.0,40.0,42.0,2
929,35,2,3.0,11.0,26.0,37.0,43.0,39
928,36,1,10.0,23.0,26.0,28.0,40.0,31
927,37,7,27.0,30.0,33.0,35.0,37.0,42
926,38,16,17.0,22.0,30.0,37.0,43.0,36
925,39,6,7.0,13.0,15.0,21.0,43.0,8
924,40,7,13.0,18.0,19.0,25.0,26.0,6
923,41,13,20.0,23.0,35.0,38.0,43.0,34
922,42,17,18.0,19.0,21.0,23.0,32.0,1
921,43,6,31.0,35.0,38.0,39.0,44.0,1
920,44,3,11.0,21.0,30.0,38.0,45.0,39
919,45,1,10.0,20.0,27.0,33.0,35.0,17
918,46,8,13.0,15.0,23.0,31.0,38.0,39
917,47,14,17.0,26.0,31.0,36.0,45.0,27
916,48,6,10.0,18.0,26.0,37.0,38.0,3
915,49,4,7.0,16.0,19.0,33.0,40.0,30
914,50,2,10.0,12.0,15.0,22.0,44.0,1
913,51,2,3.0,11.0,16.0,26.0,44.0,35
912,52,2,4.0,15.0,16.0,20.0,29.0,1
911,53,7,8.0,14.0,32.0,33.0,39.0,42
910,54,1,8.0,21.0,27.0,36.0,39.0,37
909,55,17,21.0,31.0,37.0,40.0,44.0,7
908,56,10,14.0,30.0,31.0,33.0,37.0,19
907,57,7,10.0,16.0,25.0,29.0,44.0,6
906,58,10,24.0,25.0,33.0,40.0,44.0,1
905,59,6,29.0,36.0,39.0,41.0,45.0,13
904,60,2,8.0,25.0,36.0,39.0,42.0,11
903,61,14,15.0,19.0,30.0,38.0,43.0,8
902,62,3,8.0,15.0,27.0,29.0,35.0,21
901,63,3,20.0,23.0,36.0,38.0,40.0,5
900,64,14,15.0,18.0,21.0,26.0,36.0,39
